Scheme ID,Research Area,Eligibility Criteria,Grant Amount Range,Duration (months),Application Deadline,Number of Applications Received,Number of Applications Funded
284,Neuroscience,Early-career researchers with a PhD or equivalent degree,5000-10000,6,2023-07-28,300,199
285,Chemical Engineering,Researchers from developing countries,50000-100000,36,2023-08-18,1092,104
286,Environmental Science,PhD students and postdoctoral fellows,5000-10000,6,2023-02-06,126,66
287,Medical Research,PhD students and postdoctoral fellows,20000-50000,36,2023-01-25,1385,191
288,Medical Research,Early-career researchers with a PhD or equivalent degree,20000-50000,12,2023-02-12,1864,187
289,Computer Science,Researchers from developing countries,500000-1000000,24,2023-05-28,288,182
290,Neuroscience,Researchers from developing countries,500000-1000000,12,2023-10-26,373,182
291,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,6,2023-06-07,140,167
292,Environmental Science,Early-career researchers with a PhD or equivalent degree,5000-10000,6,2023-01-05,1634,151
293,Neuroscience,PhD students and postdoctoral fellows,50000-100000,6,2023-08-20,607,162
294,Chemical Engineering,PhD students and postdoctoral fellows,20000-50000,24,2023-05-16,321,107
295,Neuroscience,Researchers from developing countries,100000-500000,12,2023-05-11,1778,76
296,Computer Science,Early-career researchers with a PhD or equivalent degree,25000-50000,24,2023-03-01,1180,117
297,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,12,2023-03-22,462,126
298,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,12,2023-05-27,1895,37
299,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,12,2023-04-24,945,183
300,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,24,2023-09-07,373,137
301,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,36,2023-11-03,1772,67
302,Materials Science,Early-career researchers with a PhD or equivalent degree,5000-15000,36,2023-08-18,899,66
303,Electrical Engineering,Researchers from developing countries,50000-100000,12,2023-08-07,1074,139
304,Environmental Science,Researchers from developing countries,20000-50000,6,2023-12-01,1847,178
305,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,12,2023-03-14,1124,198
306,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,100000-250000,36,2023-11-17,1339,67
307,Computer Science,PhD students and postdoctoral fellows,5000-10000,6,2023-02-23,1485,179
308,Neuroscience,PhD students and postdoctoral fellows,100000-250000,24,2023-05-29,285,54
309,Physics,PhD students and postdoctoral fellows,20000-50000,6,2023-04-08,579,180
310,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,5000-15000,6,2023-09-23,1222,132
311,Environmental Science,PhD students and postdoctoral fellows,5000-10000,36,2023-03-18,555,133
312,Computer Science,Researchers from developing countries,20000-50000,6,2023-07-15,149,168
313,Medical Research,Researchers from developing countries,20000-50000,12,2023-03-13,1464,52
314,Medical Research,Early-career researchers with a PhD or equivalent degree,25000-50000,12,2023-12-30,575,187
315,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,24,2023-06-14,1727,15
316,Physics,Researchers from developing countries,5000-15000,36,2023-10-01,1308,28
317,Medical Research,Early-career researchers with a PhD or equivalent degree,25000-50000,6,2023-01-03,1078,35
318,Environmental Science,Researchers from developing countries,25000-50000,36,2023-03-09,1195,150
319,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,24,2023-10-18,362,157
320,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,36,2023-02-28,1883,40
321,Environmental Science,PhD students and postdoctoral fellows,100000-500000,12,2023-07-03,202,84
322,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,24,2023-05-22,756,53
323,Materials Science,Researchers from developing countries,5000-10000,6,2023-01-31,1112,52
324,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,6,2023-10-18,93,145
325,Physics,Researchers from developing countries,100000-500000,12,2023-10-15,1932,32
326,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,24,2023-11-03,135,134
327,Electrical Engineering,Researchers from developing countries,5000-15000,6,2023-05-30,148,22
328,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,6,2023-04-21,1087,71
329,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,36,2023-10-03,1273,137
330,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,12,2023-05-04,735,173
331,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,12,2023-11-01,970,156
332,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,6,2023-04-25,1978,44
333,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,100000-500000,6,2023-04-02,1955,50
334,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,6,2023-05-02,1101,128
335,Environmental Science,Early-career researchers with a PhD or equivalent degree,50000-100000,12,2023-10-29,270,95
336,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,100000-500000,12,2023-09-22,1149,152
337,Physics,Researchers from developing countries,500000-1000000,24,2023-03-07,652,85
338,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,6,2023-06-25,1462,150
339,Neuroscience,Researchers from developing countries,50000-100000,36,2023-10-14,1901,151
340,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,36,2023-10-01,852,47
341,Medical Research,Researchers from developing countries,50000-100000,12,2023-12-31,1719,51
342,Neuroscience,Researchers from developing countries,100000-500000,12,2023-09-12,1541,198
343,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,50000-100000,24,2023-05-27,1809,155
344,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,36,2023-12-31,1899,10
345,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,24,2023-11-04,755,90
346,Physics,PhD students and postdoctoral fellows,500000-1000000,36,2023-07-04,986,54
347,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,36,2023-05-02,1219,140
348,Chemical Engineering,Researchers from developing countries,500000-1000000,24,2023-06-02,855,163
349,Chemical Engineering,Researchers from developing countries,5000-10000,24,2023-01-13,623,91
350,Environmental Science,Early-career researchers with a PhD or equivalent degree,20000-50000,36,2023-07-04,1495,46
351,Physics,Researchers from developing countries,25000-50000,12,2023-09-01,1995,127
352,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,36,2023-04-24,1093,98
353,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,12,2023-12-05,167,185
354,Environmental Science,Early-career researchers with a PhD or equivalent degree,5000-10000,36,2023-04-01,265,146
355,Materials Science,PhD students and postdoctoral fellows,50000-100000,12,2023-07-14,1542,11
356,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,20000-50000,6,2023-08-07,664,188
357,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,36,2023-12-03,1700,77
358,Environmental Science,Researchers from developing countries,50000-100000,12,2023-06-04,756,46
359,Neuroscience,Early-career researchers with a PhD or equivalent degree,50000-100000,6,2023-02-10,1678,47
360,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,36,2023-09-09,1403,184
361,Materials Science,Researchers from developing countries,500000-1000000,12,2023-12-04,1639,161
362,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,6,2023-10-01,454,172
363,Electrical Engineering,Researchers from developing countries,100000-500000,6,2023-03-31,1239,184
364,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,6,2023-06-18,1818,105
365,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,12,2023-02-24,1124,52
366,Materials Science,Early-career researchers with a PhD or equivalent degree,5000-15000,6,2023-08-04,691,197
367,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,12,2023-03-07,1380,99
368,Materials Science,Early-career researchers with a PhD or equivalent degree,50000-100000,12,2023-06-22,1486,165
369,Electrical Engineering,Researchers from developing countries,20000-50000,36,2023-09-22,1144,144
370,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,6,2023-10-27,830,45
371,Environmental Science,Early-career researchers with a PhD or equivalent degree,5000-10000,12,2023-12-02,1955,195
372,Chemical Engineering,Researchers from developing countries,50000-100000,36,2023-02-17,1210,121
373,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,12,2023-10-17,687,132
374,Computer Science,PhD students and postdoctoral fellows,100000-250000,6,2023-08-13,312,58
375,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,6,2023-11-30,919,127
376,Medical Research,PhD students and postdoctoral fellows,5000-10000,24,2023-07-25,1203,72
377,Chemical Engineering,Researchers from developing countries,20000-50000,6,2023-12-18,1057,18
378,Environmental Science,Early-career researchers with a PhD or equivalent degree,20000-50000,24,2023-12-17,1227,86
379,Materials Science,PhD students and postdoctoral fellows,5000-15000,36,2023-09-18,172,77
380,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,24,2023-04-05,1348,129
381,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,24,2023-11-11,647,99
382,Environmental Science,Researchers from developing countries,100000-250000,6,2023-11-14,928,181
383,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,24,2023-06-18,931,37
384,Environmental Science,Researchers from developing countries,500000-1000000,12,2023-03-01,1936,149
385,Neuroscience,PhD students and postdoctoral fellows,500000-1000000,36,2023-03-23,519,112
386,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,50000-100000,12,2023-07-30,729,89
387,Environmental Science,Early-career researchers with a PhD or equivalent degree,50000-100000,24,2023-10-01,1721,87
388,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,12,2023-04-19,583,177
389,Environmental Science,Early-career researchers with a PhD or equivalent degree,5000-15000,24,2023-06-20,220,145
390,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,36,2023-09-13,1339,150
391,Environmental Science,PhD students and postdoctoral fellows,100000-250000,24,2023-04-03,1160,174
392,Environmental Science,PhD students and postdoctoral fellows,100000-250000,36,2023-06-25,873,141
393,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,6,2023-01-08,64,196
394,Chemical Engineering,PhD students and postdoctoral fellows,5000-15000,36,2023-09-16,1624,25
395,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,12,2023-03-07,1802,41
396,Computer Science,Researchers from developing countries,100000-250000,24,2023-03-15,1440,81
397,Chemical Engineering,Researchers from developing countries,50000-100000,6,2023-09-12,491,126
398,Physics,PhD students and postdoctoral fellows,25000-50000,36,2023-07-16,1886,63
399,Neuroscience,PhD students and postdoctoral fellows,500000-1000000,12,2023-04-17,842,126
400,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,20000-50000,12,2023-10-21,1845,111
401,Electrical Engineering,PhD students and postdoctoral fellows,5000-15000,24,2023-06-15,1769,121
402,Materials Science,Early-career researchers with a PhD or equivalent degree,5000-10000,12,2023-12-15,724,40
403,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,24,2023-11-07,583,18
404,Neuroscience,Early-career researchers with a PhD or equivalent degree,5000-10000,24,2023-01-10,776,115
405,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,24,2023-01-14,377,165
406,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,36,2023-01-18,359,105
407,Chemical Engineering,PhD students and postdoctoral fellows,20000-50000,36,2023-01-09,404,52
408,Chemical Engineering,Researchers from developing countries,50000-100000,6,2023-04-07,774,179
409,Electrical Engineering,Researchers from developing countries,500000-1000000,12,2023-10-24,686,98
410,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,6,2023-12-08,660,167
411,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,12,2023-03-06,298,36
412,Medical Research,PhD students and postdoctoral fellows,20000-50000,36,2023-05-29,1197,46
413,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,6,2023-06-16,205,35
414,Physics,Researchers from developing countries,50000-100000,24,2023-07-06,1817,71
415,Physics,PhD students and postdoctoral fellows,500000-1000000,12,2023-04-01,1898,40
416,Computer Science,Researchers from developing countries,100000-500000,24,2023-05-02,1019,59
417,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,6,2023-10-02,111,173
418,Medical Research,PhD students and postdoctoral fellows,20000-50000,6,2023-08-29,1071,119
419,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,12,2023-12-07,680,188
420,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,36,2023-11-02,1111,188
421,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,100000-250000,6,2023-12-25,662,102
422,Chemical Engineering,PhD students and postdoctoral fellows,5000-15000,12,2023-07-06,133,69
423,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,24,2023-02-20,472,140
424,Neuroscience,Early-career researchers with a PhD or equivalent degree,100000-500000,6,2023-09-28,176,144
425,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,24,2023-08-24,1050,82
426,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,6,2023-07-03,643,11
427,Neuroscience,PhD students and postdoctoral fellows,100000-250000,12,2023-09-06,1331,156
428,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,6,2023-06-09,198,128
429,Computer Science,PhD students and postdoctoral fellows,100000-500000,6,2023-09-26,1854,116
430,Materials Science,Researchers from developing countries,20000-50000,12,2023-09-24,1529,23
431,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,6,2023-11-23,1435,155
432,Neuroscience,PhD students and postdoctoral fellows,500000-1000000,12,2023-03-15,1098,11
433,Materials Science,Early-career researchers with a PhD or equivalent degree,100000-500000,6,2023-01-01,308,156
434,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,6,2023-01-29,1343,159
435,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,36,2023-03-03,1472,123
436,Materials Science,Researchers from developing countries,20000-50000,24,2023-03-04,1989,128
437,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,24,2023-09-12,630,154
438,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,36,2023-01-28,739,161
439,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,24,2023-03-30,1383,25
440,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,6,2023-09-24,99,5
441,Neuroscience,Early-career researchers with a PhD or equivalent degree,20000-50000,24,2023-08-01,296,111
442,Chemical Engineering,PhD students and postdoctoral fellows,25000-50000,24,2023-09-10,1045,148
443,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,12,2023-03-13,524,190
444,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,5000-10000,36,2023-08-05,681,185
445,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,12,2023-11-14,1407,123
446,Computer Science,Early-career researchers with a PhD or equivalent degree,100000-250000,12,2023-11-17,1371,50
447,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,36,2023-08-20,1252,175
448,Neuroscience,Researchers from developing countries,100000-500000,36,2023-09-28,1332,189
449,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,5000-10000,12,2023-09-22,1269,107
450,Physics,Early-career researchers with a PhD or equivalent degree,100000-500000,12,2023-05-11,1865,143
451,Electrical Engineering,PhD students and postdoctoral fellows,5000-15000,12,2023-08-07,1264,83
452,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,36,2023-09-14,910,191
453,Neuroscience,PhD students and postdoctoral fellows,100000-250000,24,2023-05-20,1711,170
454,Computer Science,Early-career researchers with a PhD or equivalent degree,20000-50000,36,2023-12-20,251,126
455,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,6,2023-08-23,248,94
456,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,12,2023-10-24,1870,63
457,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,6,2023-05-04,1065,96
458,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,24,2023-02-01,713,158
459,Computer Science,Early-career researchers with a PhD or equivalent degree,100000-250000,36,2023-05-04,1044,89
460,Materials Science,PhD students and postdoctoral fellows,500000-1000000,36,2023-06-09,670,99
461,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,36,2023-01-12,1784,111
462,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,24,2023-01-27,185,118
463,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,24,2023-11-16,305,148
464,Materials Science,Researchers from developing countries,100000-250000,36,2023-05-21,728,162
465,Chemical Engineering,Researchers from developing countries,100000-500000,36,2023-08-31,1193,113
466,Neuroscience,PhD students and postdoctoral fellows,25000-50000,12,2023-12-23,437,173
467,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,36,2023-09-25,634,51
468,Computer Science,PhD students and postdoctoral fellows,50000-100000,6,2023-10-25,1822,154
469,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,12,2023-01-09,1983,122
470,Materials Science,Researchers from developing countries,25000-50000,36,2023-03-20,486,104
471,Computer Science,Researchers from developing countries,100000-500000,24,2023-07-18,878,50
472,Neuroscience,Researchers from developing countries,25000-50000,36,2023-10-28,913,81
473,Chemical Engineering,PhD students and postdoctoral fellows,100000-500000,12,2023-10-19,509,75
474,Chemical Engineering,Researchers from developing countries,5000-10000,24,2023-07-01,225,58
475,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,6,2023-12-18,149,154
476,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,6,2023-12-10,1651,31
477,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,36,2023-08-30,861,150
478,Neuroscience,PhD students and postdoctoral fellows,5000-10000,36,2023-07-17,1054,103
479,Computer Science,Researchers from developing countries,500000-1000000,12,2023-11-03,350,128
480,Physics,Early-career researchers with a PhD or equivalent degree,100000-500000,36,2023-01-01,1545,32
481,Environmental Science,Researchers from developing countries,50000-100000,24,2023-08-22,1195,112
482,Physics,PhD students and postdoctoral fellows,100000-500000,24,2023-05-10,1920,103
483,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,36,2023-06-13,575,30
484,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,100000-250000,12,2023-07-31,173,180
485,Neuroscience,Early-career researchers with a PhD or equivalent degree,100000-250000,12,2023-12-14,1863,185
486,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,12,2023-04-14,1151,121
487,Physics,Early-career researchers with a PhD or equivalent degree,5000-10000,6,2023-02-08,285,61
488,Electrical Engineering,Researchers from developing countries,5000-10000,6,2023-06-20,1424,98
489,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,24,2023-07-10,1603,84
490,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,36,2023-10-18,959,53
491,Environmental Science,PhD students and postdoctoral fellows,100000-500000,36,2023-03-24,1607,26
492,Materials Science,PhD students and postdoctoral fellows,100000-500000,24,2023-12-20,880,135
493,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,36,2023-04-16,1571,34
494,Materials Science,PhD students and postdoctoral fellows,5000-10000,12,2023-07-18,648,181
495,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,36,2023-04-17,695,51
496,Electrical Engineering,Researchers from developing countries,25000-50000,36,2023-01-17,1070,190
497,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,5000-10000,24,2023-04-24,923,170
498,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,24,2023-01-29,1376,31
499,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,36,2023-10-25,802,130
500,Materials Science,Early-career researchers with a PhD or equivalent degree,5000-10000,12,2023-05-29,1021,128
501,Materials Science,Early-career researchers with a PhD or equivalent degree,20000-50000,6,2023-07-02,266,121
502,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,36,2023-06-11,984,111
503,Physics,Researchers from developing countries,50000-100000,6,2023-01-12,1795,199
504,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,36,2023-11-01,1164,173
505,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,12,2023-04-01,1085,7
506,Neuroscience,Early-career researchers with a PhD or equivalent degree,50000-100000,24,2023-08-04,1136,54
507,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,36,2023-12-24,718,106
508,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,12,2023-09-19,50,87
509,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,24,2023-03-28,423,93
510,Materials Science,Early-career researchers with a PhD or equivalent degree,50000-100000,36,2023-07-24,628,77
511,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,24,2023-01-21,1577,86
512,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,12,2023-03-28,696,86
513,Physics,Early-career researchers with a PhD or equivalent degree,500000-1000000,6,2023-01-07,1940,67
514,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,24,2023-02-18,1326,96
515,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,6,2023-11-10,602,140
516,Physics,Researchers from developing countries,25000-50000,12,2023-10-29,236,85
517,Computer Science,Researchers from developing countries,20000-50000,36,2023-06-16,1095,118
518,Computer Science,Researchers from developing countries,500000-1000000,12,2023-05-23,1866,127
519,Physics,Early-career researchers with a PhD or equivalent degree,100000-500000,6,2023-11-16,1347,34
520,Electrical Engineering,Researchers from developing countries,20000-50000,12,2023-05-03,1062,188
521,Medical Research,PhD students and postdoctoral fellows,100000-250000,36,2023-06-14,604,141
522,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,6,2023-05-06,82,108
523,Electrical Engineering,Researchers from developing countries,50000-100000,12,2023-03-07,572,42
524,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,12,2023-03-19,1637,43
525,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,6,2023-05-15,1277,48
526,Physics,Early-career researchers with a PhD or equivalent degree,500000-1000000,36,2023-01-20,1365,40
527,Computer Science,PhD students and postdoctoral fellows,5000-15000,24,2023-03-07,168,188
528,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,36,2023-06-20,710,148
529,Physics,PhD students and postdoctoral fellows,100000-500000,36,2023-12-10,1442,9
530,Medical Research,Researchers from developing countries,50000-100000,36,2023-10-23,1190,38
531,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,36,2023-12-08,1822,43
532,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,6,2023-07-22,1336,33
533,Medical Research,Researchers from developing countries,500000-1000000,36,2023-07-04,1757,175
534,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,24,2023-11-03,1453,130
535,Physics,Early-career researchers with a PhD or equivalent degree,25000-50000,12,2023-05-23,1841,26
536,Materials Science,PhD students and postdoctoral fellows,5000-10000,24,2023-11-05,1245,124
537,Physics,Researchers from developing countries,500000-1000000,6,2023-10-08,1889,48
538,Neuroscience,PhD students and postdoctoral fellows,100000-500000,12,2023-11-24,1032,80
539,Computer Science,Early-career researchers with a PhD or equivalent degree,50000-100000,6,2023-04-17,1881,52
540,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,24,2023-02-26,769,47
541,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,24,2023-04-15,1501,34
542,Neuroscience,Early-career researchers with a PhD or equivalent degree,20000-50000,24,2023-02-22,1524,13
543,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,36,2023-12-14,618,120
544,Materials Science,PhD students and postdoctoral fellows,5000-10000,6,2023-07-12,576,47
545,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,50000-100000,36,2023-07-18,1294,109
546,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,12,2023-01-05,1378,40
547,Chemical Engineering,PhD students and postdoctoral fellows,100000-500000,24,2023-09-08,1380,142
548,Electrical Engineering,PhD students and postdoctoral fellows,500000-1000000,36,2023-06-10,891,24
549,Computer Science,Researchers from developing countries,5000-10000,12,2023-02-28,1478,58
550,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,36,2023-03-19,751,163
551,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,36,2023-02-26,1864,138
552,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,6,2023-04-14,1357,81
553,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,5000-10000,24,2023-09-13,1937,155
554,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,50000-100000,36,2023-12-15,1526,173
555,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,6,2023-05-01,799,19
556,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,24,2023-07-31,982,188
557,Materials Science,Researchers from developing countries,20000-50000,36,2023-08-16,367,151
558,Materials Science,Early-career researchers with a PhD or equivalent degree,5000-15000,36,2023-10-22,1172,62
559,Physics,PhD students and postdoctoral fellows,5000-15000,36,2023-03-29,428,179
560,Medical Research,Early-career researchers with a PhD or equivalent degree,5000-10000,24,2023-06-09,595,114
561,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,25000-50000,12,2023-12-31,1094,18
562,Physics,Researchers from developing countries,20000-50000,36,2023-01-06,643,190
563,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,36,2023-12-18,1623,46
564,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,36,2023-06-18,1688,195
565,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,12,2023-12-30,1182,156
566,Chemical Engineering,Researchers from developing countries,500000-1000000,24,2023-09-01,1213,99
567,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,24,2023-02-05,1139,152
