scheme_id,research_area,eligible,grant_amt,duration,app_dead,no_app,no_app_fund
285,Chemical Engineering,Researchers from developing countries,50000-100000,36,8/18/2023,1092,104
286,Environmental Science,PhD students and postdoctoral fellows,5000-10000,6,2/6/2023,126,66
287,Medical Research,PhD students and postdoctoral fellows,20000-50000,36,1/25/2023,1385,191
288,Medical Research,Early-career researchers with a PhD or equivalent degree,20000-50000,12,2/12/2023,1864,187
289,Computer Science,Researchers from developing countries,500000-1000000,24,5/28/2023,288,182
290,Neuroscience,Researchers from developing countries,500000-1000000,12,10/26/2023,373,182
291,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,6,6/7/2023,140,167
292,Environmental Science,Early-career researchers with a PhD or equivalent degree,5000-10000,6,1/5/2023,1634,151
293,Neuroscience,PhD students and postdoctoral fellows,50000-100000,6,8/20/2023,607,162
294,Chemical Engineering,PhD students and postdoctoral fellows,20000-50000,24,5/16/2023,321,107
295,Neuroscience,Researchers from developing countries,100000-500000,12,5/11/2023,1778,76
296,Computer Science,Early-career researchers with a PhD or equivalent degree,25000-50000,24,3/1/2023,1180,117
297,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,12,3/22/2023,462,126
298,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,12,5/27/2023,1895,37
299,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,12,4/24/2023,945,183
300,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,24,9/7/2023,373,137
301,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,36,11/3/2023,1772,67
302,Materials Science,Early-career researchers with a PhD or equivalent degree,5000-15000,36,8/18/2023,899,66
303,Electrical Engineering,Researchers from developing countries,50000-100000,12,8/7/2023,1074,139
304,Environmental Science,Researchers from developing countries,20000-50000,6,12/1/2023,1847,178
305,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,12,3/14/2023,1124,198
306,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,100000-250000,36,11/17/2023,1339,67
307,Computer Science,PhD students and postdoctoral fellows,5000-10000,6,2/23/2023,1485,179
308,Neuroscience,PhD students and postdoctoral fellows,100000-250000,24,5/29/2023,285,54
309,Physics,PhD students and postdoctoral fellows,20000-50000,6,4/8/2023,579,180
310,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,5000-15000,6,9/23/2023,1222,132
311,Environmental Science,PhD students and postdoctoral fellows,5000-10000,36,3/18/2023,555,133
312,Computer Science,Researchers from developing countries,20000-50000,6,7/15/2023,149,168
313,Medical Research,Researchers from developing countries,20000-50000,12,3/13/2023,1464,52
314,Medical Research,Early-career researchers with a PhD or equivalent degree,25000-50000,12,12/30/2023,575,187
315,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,24,6/14/2023,1727,15
316,Physics,Researchers from developing countries,5000-15000,36,10/1/2023,1308,28
317,Medical Research,Early-career researchers with a PhD or equivalent degree,25000-50000,6,1/3/2023,1078,35
318,Environmental Science,Researchers from developing countries,25000-50000,36,3/9/2023,1195,150
319,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,24,10/18/2023,362,157
320,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,36,2/28/2023,1883,40
321,Environmental Science,PhD students and postdoctoral fellows,100000-500000,12,7/3/2023,202,84
322,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,24,5/22/2023,756,53
323,Materials Science,Researchers from developing countries,5000-10000,6,1/31/2023,1112,52
324,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,6,10/18/2023,93,145
325,Physics,Researchers from developing countries,100000-500000,12,10/15/2023,1932,32
326,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,24,11/3/2023,135,134
327,Electrical Engineering,Researchers from developing countries,5000-15000,6,5/30/2023,148,22
328,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,6,4/21/2023,1087,71
329,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,36,10/3/2023,1273,137
330,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,12,5/4/2023,735,173
331,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,12,11/1/2023,970,156
332,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,6,4/25/2023,1978,44
333,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,100000-500000,6,4/2/2023,1955,50
334,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,6,5/2/2023,1101,128
335,Environmental Science,Early-career researchers with a PhD or equivalent degree,50000-100000,12,10/29/2023,270,95
336,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,100000-500000,12,9/22/2023,1149,152
337,Physics,Researchers from developing countries,500000-1000000,24,3/7/2023,652,85
338,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,6,6/25/2023,1462,150
339,Neuroscience,Researchers from developing countries,50000-100000,36,10/14/2023,1901,151
340,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,36,10/1/2023,852,47
341,Medical Research,Researchers from developing countries,50000-100000,12,12/31/2023,1719,51
342,Neuroscience,Researchers from developing countries,100000-500000,12,9/12/2023,1541,198
343,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,50000-100000,24,5/27/2023,1809,155
344,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,36,12/31/2023,1899,10
345,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,24,11/4/2023,755,90
346,Physics,PhD students and postdoctoral fellows,500000-1000000,36,7/4/2023,986,54
347,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,36,5/2/2023,1219,140
348,Chemical Engineering,Researchers from developing countries,500000-1000000,24,6/2/2023,855,163
349,Chemical Engineering,Researchers from developing countries,5000-10000,24,1/13/2023,623,91
350,Environmental Science,Early-career researchers with a PhD or equivalent degree,20000-50000,36,7/4/2023,1495,46
351,Physics,Researchers from developing countries,25000-50000,12,9/1/2023,1995,127
352,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,36,4/24/2023,1093,98
353,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,12,12/5/2023,167,185
354,Environmental Science,Early-career researchers with a PhD or equivalent degree,5000-10000,36,4/1/2023,265,146
355,Materials Science,PhD students and postdoctoral fellows,50000-100000,12,7/14/2023,1542,11
356,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,20000-50000,6,8/7/2023,664,188
357,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,36,12/3/2023,1700,77
358,Environmental Science,Researchers from developing countries,50000-100000,12,6/4/2023,756,46
359,Neuroscience,Early-career researchers with a PhD or equivalent degree,50000-100000,6,2/10/2023,1678,47
360,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,36,9/9/2023,1403,184
361,Materials Science,Researchers from developing countries,500000-1000000,12,12/4/2023,1639,161
362,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,6,10/1/2023,454,172
363,Electrical Engineering,Researchers from developing countries,100000-500000,6,3/31/2023,1239,184
364,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,6,6/18/2023,1818,105
365,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,12,2/24/2023,1124,52
366,Materials Science,Early-career researchers with a PhD or equivalent degree,5000-15000,6,8/4/2023,691,197
367,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,12,3/7/2023,1380,99
368,Materials Science,Early-career researchers with a PhD or equivalent degree,50000-100000,12,6/22/2023,1486,165
369,Electrical Engineering,Researchers from developing countries,20000-50000,36,9/22/2023,1144,144
370,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,6,10/27/2023,830,45
371,Environmental Science,Early-career researchers with a PhD or equivalent degree,5000-10000,12,12/2/2023,1955,195
372,Chemical Engineering,Researchers from developing countries,50000-100000,36,2/17/2023,1210,121
373,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,12,10/17/2023,687,132
374,Computer Science,PhD students and postdoctoral fellows,100000-250000,6,8/13/2023,312,58
375,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,6,11/30/2023,919,127
376,Medical Research,PhD students and postdoctoral fellows,5000-10000,24,7/25/2023,1203,72
377,Chemical Engineering,Researchers from developing countries,20000-50000,6,12/18/2023,1057,18
378,Environmental Science,Early-career researchers with a PhD or equivalent degree,20000-50000,24,12/17/2023,1227,86
379,Materials Science,PhD students and postdoctoral fellows,5000-15000,36,9/18/2023,172,77
380,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,24,4/5/2023,1348,129
381,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,24,11/11/2023,647,99
382,Environmental Science,Researchers from developing countries,100000-250000,6,11/14/2023,928,181
383,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,24,6/18/2023,931,37
384,Environmental Science,Researchers from developing countries,500000-1000000,12,3/1/2023,1936,149
385,Neuroscience,PhD students and postdoctoral fellows,500000-1000000,36,3/23/2023,519,112
386,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,50000-100000,12,7/30/2023,729,89
387,Environmental Science,Early-career researchers with a PhD or equivalent degree,50000-100000,24,10/1/2023,1721,87
388,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,12,4/19/2023,583,177
389,Environmental Science,Early-career researchers with a PhD or equivalent degree,5000-15000,24,6/20/2023,220,145
390,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,36,9/13/2023,1339,150
391,Environmental Science,PhD students and postdoctoral fellows,100000-250000,24,4/3/2023,1160,174
392,Environmental Science,PhD students and postdoctoral fellows,100000-250000,36,6/25/2023,873,141
393,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,6,1/8/2023,64,196
394,Chemical Engineering,PhD students and postdoctoral fellows,5000-15000,36,9/16/2023,1624,25
395,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,12,3/7/2023,1802,41
396,Computer Science,Researchers from developing countries,100000-250000,24,3/15/2023,1440,81
397,Chemical Engineering,Researchers from developing countries,50000-100000,6,9/12/2023,491,126
398,Physics,PhD students and postdoctoral fellows,25000-50000,36,7/16/2023,1886,63
399,Neuroscience,PhD students and postdoctoral fellows,500000-1000000,12,4/17/2023,842,126
400,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,20000-50000,12,10/21/2023,1845,111
401,Electrical Engineering,PhD students and postdoctoral fellows,5000-15000,24,6/15/2023,1769,121
402,Materials Science,Early-career researchers with a PhD or equivalent degree,5000-10000,12,12/15/2023,724,40
403,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,24,11/7/2023,583,18
404,Neuroscience,Early-career researchers with a PhD or equivalent degree,5000-10000,24,1/10/2023,776,115
405,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,24,1/14/2023,377,165
406,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,36,1/18/2023,359,105
407,Chemical Engineering,PhD students and postdoctoral fellows,20000-50000,36,1/9/2023,404,52
408,Chemical Engineering,Researchers from developing countries,50000-100000,6,4/7/2023,774,179
409,Electrical Engineering,Researchers from developing countries,500000-1000000,12,10/24/2023,686,98
410,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,6,12/8/2023,660,167
411,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,12,3/6/2023,298,36
412,Medical Research,PhD students and postdoctoral fellows,20000-50000,36,5/29/2023,1197,46
413,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,6,6/16/2023,205,35
414,Physics,Researchers from developing countries,50000-100000,24,7/6/2023,1817,71
415,Physics,PhD students and postdoctoral fellows,500000-1000000,12,4/1/2023,1898,40
416,Computer Science,Researchers from developing countries,100000-500000,24,5/2/2023,1019,59
417,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,6,10/2/2023,111,173
418,Medical Research,PhD students and postdoctoral fellows,20000-50000,6,8/29/2023,1071,119
419,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,12,12/7/2023,680,188
420,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,36,11/2/2023,1111,188
421,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,100000-250000,6,12/25/2023,662,102
422,Chemical Engineering,PhD students and postdoctoral fellows,5000-15000,12,7/6/2023,133,69
423,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,24,2/20/2023,472,140
424,Neuroscience,Early-career researchers with a PhD or equivalent degree,100000-500000,6,9/28/2023,176,144
425,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,24,8/24/2023,1050,82
426,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,6,7/3/2023,643,11
427,Neuroscience,PhD students and postdoctoral fellows,100000-250000,12,9/6/2023,1331,156
428,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,6,6/9/2023,198,128
429,Computer Science,PhD students and postdoctoral fellows,100000-500000,6,9/26/2023,1854,116
430,Materials Science,Researchers from developing countries,20000-50000,12,9/24/2023,1529,23
431,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,6,11/23/2023,1435,155
432,Neuroscience,PhD students and postdoctoral fellows,500000-1000000,12,3/15/2023,1098,11
433,Materials Science,Early-career researchers with a PhD or equivalent degree,100000-500000,6,1/1/2023,308,156
434,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,6,1/29/2023,1343,159
435,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,36,3/3/2023,1472,123
436,Materials Science,Researchers from developing countries,20000-50000,24,3/4/2023,1989,128
437,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,24,9/12/2023,630,154
438,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,36,1/28/2023,739,161
439,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,24,3/30/2023,1383,25
440,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,6,9/24/2023,99,5
441,Neuroscience,Early-career researchers with a PhD or equivalent degree,20000-50000,24,8/1/2023,296,111
442,Chemical Engineering,PhD students and postdoctoral fellows,25000-50000,24,9/10/2023,1045,148
443,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,12,3/13/2023,524,190
444,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,5000-10000,36,8/5/2023,681,185
445,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,12,11/14/2023,1407,123
446,Computer Science,Early-career researchers with a PhD or equivalent degree,100000-250000,12,11/17/2023,1371,50
447,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,36,8/20/2023,1252,175
448,Neuroscience,Researchers from developing countries,100000-500000,36,9/28/2023,1332,189
449,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,5000-10000,12,9/22/2023,1269,107
450,Physics,Early-career researchers with a PhD or equivalent degree,100000-500000,12,5/11/2023,1865,143
451,Electrical Engineering,PhD students and postdoctoral fellows,5000-15000,12,8/7/2023,1264,83
452,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,36,9/14/2023,910,191
453,Neuroscience,PhD students and postdoctoral fellows,100000-250000,24,5/20/2023,1711,170
454,Computer Science,Early-career researchers with a PhD or equivalent degree,20000-50000,36,12/20/2023,251,126
455,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,6,8/23/2023,248,94
456,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,12,10/24/2023,1870,63
457,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,6,5/4/2023,1065,96
458,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,24,2/1/2023,713,158
459,Computer Science,Early-career researchers with a PhD or equivalent degree,100000-250000,36,5/4/2023,1044,89
460,Materials Science,PhD students and postdoctoral fellows,500000-1000000,36,6/9/2023,670,99
461,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,36,1/12/2023,1784,111
462,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,24,1/27/2023,185,118
463,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,24,11/16/2023,305,148
464,Materials Science,Researchers from developing countries,100000-250000,36,5/21/2023,728,162
465,Chemical Engineering,Researchers from developing countries,100000-500000,36,8/31/2023,1193,113
466,Neuroscience,PhD students and postdoctoral fellows,25000-50000,12,12/23/2023,437,173
467,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,36,9/25/2023,634,51
468,Computer Science,PhD students and postdoctoral fellows,50000-100000,6,10/25/2023,1822,154
469,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,12,1/9/2023,1983,122
470,Materials Science,Researchers from developing countries,25000-50000,36,3/20/2023,486,104
471,Computer Science,Researchers from developing countries,100000-500000,24,7/18/2023,878,50
472,Neuroscience,Researchers from developing countries,25000-50000,36,10/28/2023,913,81
473,Chemical Engineering,PhD students and postdoctoral fellows,100000-500000,12,10/19/2023,509,75
474,Chemical Engineering,Researchers from developing countries,5000-10000,24,7/1/2023,225,58
475,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,6,12/18/2023,149,154
476,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,6,12/10/2023,1651,31
477,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,36,8/30/2023,861,150
478,Neuroscience,PhD students and postdoctoral fellows,5000-10000,36,7/17/2023,1054,103
479,Computer Science,Researchers from developing countries,500000-1000000,12,11/3/2023,350,128
480,Physics,Early-career researchers with a PhD or equivalent degree,100000-500000,36,1/1/2023,1545,32
481,Environmental Science,Researchers from developing countries,50000-100000,24,8/22/2023,1195,112
482,Physics,PhD students and postdoctoral fellows,100000-500000,24,5/10/2023,1920,103
483,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,36,6/13/2023,575,30
484,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,100000-250000,12,7/31/2023,173,180
485,Neuroscience,Early-career researchers with a PhD or equivalent degree,100000-250000,12,12/14/2023,1863,185
486,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,12,4/14/2023,1151,121
487,Physics,Early-career researchers with a PhD or equivalent degree,5000-10000,6,2/8/2023,285,61
488,Electrical Engineering,Researchers from developing countries,5000-10000,6,6/20/2023,1424,98
489,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,24,7/10/2023,1603,84
490,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,36,10/18/2023,959,53
491,Environmental Science,PhD students and postdoctoral fellows,100000-500000,36,3/24/2023,1607,26
492,Materials Science,PhD students and postdoctoral fellows,100000-500000,24,12/20/2023,880,135
493,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,36,4/16/2023,1571,34
494,Materials Science,PhD students and postdoctoral fellows,5000-10000,12,7/18/2023,648,181
495,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,36,4/17/2023,695,51
496,Electrical Engineering,Researchers from developing countries,25000-50000,36,1/17/2023,1070,190
497,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,5000-10000,24,4/24/2023,923,170
498,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,24,1/29/2023,1376,31
499,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,36,10/25/2023,802,130
500,Materials Science,Early-career researchers with a PhD or equivalent degree,5000-10000,12,5/29/2023,1021,128
501,Materials Science,Early-career researchers with a PhD or equivalent degree,20000-50000,6,7/2/2023,266,121
502,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,36,6/11/2023,984,111
503,Physics,Researchers from developing countries,50000-100000,6,1/12/2023,1795,199
504,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,36,11/1/2023,1164,173
505,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,12,4/1/2023,1085,7
506,Neuroscience,Early-career researchers with a PhD or equivalent degree,50000-100000,24,8/4/2023,1136,54
507,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,36,12/24/2023,718,106
508,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,12,9/19/2023,50,87
509,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,24,3/28/2023,423,93
510,Materials Science,Early-career researchers with a PhD or equivalent degree,50000-100000,36,7/24/2023,628,77
511,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,24,1/21/2023,1577,86
512,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,12,3/28/2023,696,86
513,Physics,Early-career researchers with a PhD or equivalent degree,500000-1000000,6,1/7/2023,1940,67
514,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,24,2/18/2023,1326,96
515,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,6,11/10/2023,602,140
516,Physics,Researchers from developing countries,25000-50000,12,10/29/2023,236,85
517,Computer Science,Researchers from developing countries,20000-50000,36,6/16/2023,1095,118
518,Computer Science,Researchers from developing countries,500000-1000000,12,5/23/2023,1866,127
519,Physics,Early-career researchers with a PhD or equivalent degree,100000-500000,6,11/16/2023,1347,34
520,Electrical Engineering,Researchers from developing countries,20000-50000,12,5/3/2023,1062,188
521,Medical Research,PhD students and postdoctoral fellows,100000-250000,36,6/14/2023,604,141
522,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,6,5/6/2023,82,108
523,Electrical Engineering,Researchers from developing countries,50000-100000,12,3/7/2023,572,42
524,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,12,3/19/2023,1637,43
525,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,6,5/15/2023,1277,48
526,Physics,Early-career researchers with a PhD or equivalent degree,500000-1000000,36,1/20/2023,1365,40
527,Computer Science,PhD students and postdoctoral fellows,5000-15000,24,3/7/2023,168,188
528,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,36,6/20/2023,710,148
529,Physics,PhD students and postdoctoral fellows,100000-500000,36,12/10/2023,1442,9
530,Medical Research,Researchers from developing countries,50000-100000,36,10/23/2023,1190,38
531,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,36,12/8/2023,1822,43
532,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,6,7/22/2023,1336,33
533,Medical Research,Researchers from developing countries,500000-1000000,36,7/4/2023,1757,175
534,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,24,11/3/2023,1453,130
535,Physics,Early-career researchers with a PhD or equivalent degree,25000-50000,12,5/23/2023,1841,26
536,Materials Science,PhD students and postdoctoral fellows,5000-10000,24,11/5/2023,1245,124
537,Physics,Researchers from developing countries,500000-1000000,6,10/8/2023,1889,48
538,Neuroscience,PhD students and postdoctoral fellows,100000-500000,12,11/24/2023,1032,80
539,Computer Science,Early-career researchers with a PhD or equivalent degree,50000-100000,6,4/17/2023,1881,52
540,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,24,2/26/2023,769,47
541,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,24,4/15/2023,1501,34
542,Neuroscience,Early-career researchers with a PhD or equivalent degree,20000-50000,24,2/22/2023,1524,13
543,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,36,12/14/2023,618,120
544,Materials Science,PhD students and postdoctoral fellows,5000-10000,6,7/12/2023,576,47
545,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,50000-100000,36,7/18/2023,1294,109
546,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,12,1/5/2023,1378,40
547,Chemical Engineering,PhD students and postdoctoral fellows,100000-500000,24,9/8/2023,1380,142
548,Electrical Engineering,PhD students and postdoctoral fellows,500000-1000000,36,6/10/2023,891,24
549,Computer Science,Researchers from developing countries,5000-10000,12,2/28/2023,1478,58
550,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,36,3/19/2023,751,163
551,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,36,2/26/2023,1864,138
552,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,6,4/14/2023,1357,81
553,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,5000-10000,24,9/13/2023,1937,155
554,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,50000-100000,36,12/15/2023,1526,173
555,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,6,5/1/2023,799,19
556,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,24,7/31/2023,982,188
557,Materials Science,Researchers from developing countries,20000-50000,36,8/16/2023,367,151
558,Materials Science,Early-career researchers with a PhD or equivalent degree,5000-15000,36,10/22/2023,1172,62
559,Physics,PhD students and postdoctoral fellows,5000-15000,36,3/29/2023,428,179
560,Medical Research,Early-career researchers with a PhD or equivalent degree,5000-10000,24,6/9/2023,595,114
561,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,25000-50000,12,12/31/2023,1094,18
562,Physics,Researchers from developing countries,20000-50000,36,1/6/2023,643,190
563,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,36,12/18/2023,1623,46
564,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,36,6/18/2023,1688,195
565,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,12,12/30/2023,1182,156
566,Chemical Engineering,Researchers from developing countries,500000-1000000,24,9/1/2023,1213,99
567,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,24,2/5/2023,1139,152
568,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,12,3/13/2023,224,80
